	Unnamed: 0	ir_gravity	ir_spec_type	opt_gravity	opt_spec_type	order	rv	shortname	source_id	spec_id	RMS n=100	RMS n=200	RMS n=500	RMS n=1000
0	0				12.0	61	-37.35	0015+3516	844	1682	0.11821430696653877	0.11857395363491874	0.11839305744633592	0.11850434872682865
1	1				12.0	61	-37.35	0015+3516	844	1683	0.22273010550690714	0.22374580613899447	0.22335370136260396	0.22320230193973417
2	2				12.0	61	-37.35	0015+3516	844	1684	0.1681872726595044	0.1681670134847788	0.1688325008422335	0.16851959859366644
3	4		14.0		13.5	61	19.02	0036+1821	86	1705	0.13691407013003196	0.13686315433033439	0.1364913619325036	0.1365788071939815
4	5		14.0		13.5	61	19.02	0036+1821	86	1706	0.14191208465910615	0.14249106835752876	0.1424936784248513	0.14240808725927764
5	6		14.0		13.5	61	19.02	0036+1821	86	1707	0.1337280522185839	0.13447463180782637	0.13432467602510717	0.13411502877279738
6	7		14.0		13.5	61	19.02	0036+1821	86	1708	0.12261957015327765	0.12235866703674	0.12193329747882156	0.12224752026420338
7	8					61	9.0	0140+2701	217	1731	0.08440215669808175	0.08386480237736901	0.08412777685910683	0.08398643057380573
8	10				11.0	61	20.0	0208+2542	307	1754	0.6723903838998573	0.671931169806961	0.6731429719094014	0.672219310842101
9	11		11.0		10.0	61	6.0	0345+2540	825	1773	0.09600739575563948	0.09600024941136975	0.09649739007270287	0.09650044523626246
10	12		11.0		10.5	61	52.37	0746+2000	119	1820	0.0804850125848681	0.08084672391677743	0.08100819567806064	0.080865869908021
11	13		11.0		10.5	61	52.37	0746+2000	119	1821	0.06086519453847205	0.06106766281008375	0.061026755164104426	0.0611213086219695
12	14				13.0	61	-0.68	1506+1321	778	1891	0.1364589721120711	0.1360966480906039	0.13625218773042477	0.13620077298895708
13	15				13.0	61	-0.68	1506+1321	778	1894	0.11845109857185618	0.11846646169607947	0.1185462547100243	0.1185243980402672
14	16		15.5		15.0	61	-39.85	1507-1627	775	1920	0.09921914835058467	0.09942527397533624	0.09918850127596172	0.09923000348262886
15	17				11.0	61	-25.6	1658+7026	631	1939	0.12063943859566101	0.12041785418224257	0.1202247239181327	0.12034401291826134
16	18		11.5		11.5	61	-24.68	2057-0252	697	1973	0.10561597541369777	0.10574332286421587	0.1054544408082486	0.1055328868008128
17	19				13.0	61	-21.09	2104-1037	698	1995	0.10314284885770324	0.10397711210376415	0.10350474223640281	0.10384183141321765
18	20		13.5		14.5	61	-37.55	2224-0158	441	2029	0.29733637358412973	0.2961550403358836	0.2970273617700294	0.2961136644044604
19	21		13.5		14.5	61	-37.55	2224-0158	441	2030	0.1122626753320002	0.11206857951222549	0.11228297837378279	0.112578229307215
20	22				6.0	61	-10.0	2234+4041	172	2057	0.45169103996697907	0.45034273760130694	0.4524983085182519	0.4522054450175129
21	23				6.0	61	-10.0	2234+4041	172	2058	0.27316226042157776	0.27207282044719	0.27201966420416307	0.27216850162536105
22	24		15.5		17.0	61	7.0	0205-1159	509	2107	0.34684748455613973	0.3460490958241235	0.34607239864128014	0.34490131495381615
23	25		16.0		15.0	61	2.0	1228-1547	269	2114	0.12491134460633768	0.12452671706166435	0.12350824252882911	0.12377254623327984
24	26	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	2142	0.3998016968214776	0.39908069002535385	0.39923853085128513	0.39974572364255423
25	27	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	2143	0.2335949430788383	0.23219180961465974	0.23243934094908755	0.23193148555316395
26	28		13.0		14.0	61	-29.0	1424+0917	220	2178	1.3871560140448274	1.3994855490274938	1.4006496205967582	1.394358302652128
27	29		6.0		6.0	61	19.0	1056+0700	205	2190	0.08118049884825496	0.08124636261448845	0.08145197482998913	0.08134563842455429
28	30		10.5		12.0	61	6.37	1305-2541	798	2254	0.11790813405428219	0.11806443970612115	0.11817081703310549	0.11796296311488633
29	31		14.0		13.5	61	19.02	0036+1821	86	3012	0.14958438645545177	0.14952183504464248	0.1501719801106239	0.14970448425722516
30	32		14.0		13.5	61	19.02	0036+1821	86	3016	0.12596003660897467	0.12641360426460552	0.12603747412095884	0.12634122068075576
31	33		14.0		13.5	61	19.02	0036+1821	86	3021	0.14180568090496776	0.14126308512733052	0.14138873246894923	0.14134383288968896
32	34		14.0		13.5	61	19.02	0036+1821	86	3036	0.1404025430878334	0.14071705838806822	0.14041012227432761	0.14090046442765755
33	35	INT-G	10.0	β	9.5	61	8.112	0027+0503	17	3059	1.3556065138386415	1.3455322829222398	1.3449633416765605	1.341845070876202
34	36				6.0	61	-10.0	2234+4041	172	3239	0.2736979688643415	0.27369869508571304	0.27352381212957316	0.27341631517750914
35	37				6.0	61	-10.0	2234+4041	172	3242	0.4729949696692145	0.47112198817017303	0.4707922098169878	0.4710660420456775
36	38		6.0		6.0	61	19.0	1056+0700	205	3321	0.08132061556263329	0.081271247957518	0.08143851864195047	0.08136639947628248
37	43					61	9.0	0140+2701	217	3373	0.08500761440458202	0.08517551807351573	0.08481932603908303	0.08499636528366457
38	44		13.0		14.0	61	-29.0	1424+0917	220	3397	1.8039125969681147	1.8105966448860267	1.8054434697168102	1.8119378557601005
39	47	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	3464	0.30170752112656773	0.3003312359147055	0.3004311368949798	0.299920321975388
40	48	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	3465	0.6035088698999984	0.5973167876379049	0.5957681085741205	0.5950666936778377
41	50		16.0		15.0	61	2.0	1228-1547	269	3555	0.18210817344151584	0.18323470776894674	0.18375937465181863	0.18271670335947118
42	52				11.0	61	20.0	0208+2542	307	3619	1.1870488639808612	1.1660632411436522	1.1491947970710044	1.1497082724128462
43	53				11.0	61	20.0	0208+2542	307	3623	0.1009486692410013	0.10081429337602749	0.10101224011366873	0.10073432896892216
44	54		22.0		22.0	61	4.0	1254-0122	439	3933	0.671404907631873	0.6788224613605229	0.6814958960740276	0.6801110586872542
45	55		13.5		14.5	61	-37.55	2224-0158	441	3966	0.15108985913049303	0.15192619083145448	0.15217272067550397	0.1521341343148219
46	56		13.5		14.5	61	-37.55	2224-0158	441	3976	0.422108078583099	0.4223998199984244	0.42268111018327914	0.4224407765006498
47	57	VL-G	12.0	β	12.0	61	3.6489999999999996	0045+1634	334	4121	0.025117323241631268	0.02512624352596821	0.025313424293513298	0.025222822983866876
48	58		15.5		17.0	61	7.0	0205-1159	509	4147	0.4543453594244331	0.4569833680925713	0.45686326279362466	0.45866345378073686
49	59		15.5		17.0	61	7.0	0205-1159	509	4155	0.6376122164803053	0.6347718714324309	0.6365146308389907	0.6380917476825516
50	61	INT-G	11.0	β	11.0	61	1.6340000000000001	0117-3403	317	4179	0.4859221054824222	0.4827599041161453	0.48365226218726765	0.483816079378632
51	62	VL-G	11.0	γ	10.0	61	7.564	0241-0326	98	4255	0.7124939027733419	0.71883063077968	0.7227926160048341	0.7189595827531794
52	64			γ	8.0	61	27.016	0534-0631	601	4355	1.6928602632495504	1.6897626594460846	1.6899903620077212	1.6877655844988257
53	67		24.5		25.0	61	-9.0	0559-1404	595	4391	0.26396243584227574	0.26429088524367045	0.2643269422401345	0.2638737183775621
54	69			γ	9.0	61	-6.978	1935-2846	105	4406	0.14704727242703017	0.14573454507824404	0.1463541831146127	0.1466607503094172
55	70			β	14.0	61	-20.721	2154-1055	313	4417	1.4894771450253503	1.473202004747189	1.4804066248114929	1.4776405454291817
56	72		25.0			61	19.0	2356-1553	611	4487	2.0250779091155158	2.021547803560476	2.039050966795043	2.0302174459349867
57	76		26.0		27.0	61	-5.0	0937+2931	648	4596	0.35493632015034876	0.3536937462759518	0.3544900294596091	0.3537345333226295
58	81		11.5		11.5	61	-24.68	2057-0252	697	4700	0.1126633380036763	0.11276745422039848	0.11255903706226043	0.11274664945018614
59	83		24.0			61	14.0	2254+3123	767	4884	0.36985850962458855	0.3741732032870185	0.37228531419658045	0.3723484662334395
60	86		20.0		17.5	61	28.0	0423-0414	794	5005	0.24580760083987452	0.2440000436570824	0.2458675284537353	0.24512197020075047
61	87		11.0		10.0	61	6.0	0345+2540	825	5120	0.11925181563470791	0.11824816872625572	0.11879589973056591	0.1189893062363652
62	90				12.0	61	-37.35	0015+3516	844	5206	0.11393562471955665	0.11391064443734095	0.11288236943069758	0.11321481034879298
63	91				12.0	61	-37.35	0015+3516	844	5208	0.3111266635814308	0.3099239501131783	0.31212186185161395	0.31202496435830507
64	92				12.0	61	-37.35	0015+3516	844	5219	0.21870878660098886	0.22105542678831397	0.2199229459598852	0.2206045114081051
65	93		11.0		10.5	61	52.37	0746+2000	119	5826	0.06294472504699447	0.06295955714144981	0.0627411538797876	0.0628381387858802
66	94		11.0		10.5	61	52.37	0746+2000	119	5836	0.08352361874046793	0.08338090569746825	0.08331782884977489	0.08316954136518485
67	95				11.0	61	-25.6	1658+7026	631	7200	0.15189096987191048	0.1532086137324543	0.15180386554731345	0.15230007561782258
68	98				13.0	61	-21.09	2104-1037	698	7402	0.11607156429504889	0.1160304850665383	0.11664982638955493	0.11627472718554956
69	100		15.5		15.0	61	-39.85	1507-1627	775	7579	0.10142043458660072	0.10185002238497005	0.1016702922774296	0.10159950717387
70	103				13.0	61	-0.68	1506+1321	778	7613	0.14924578221262527	0.1502386229831659	0.15012029262689922	0.1498246542184598
71	105				13.0	61	-0.68	1506+1321	778	7617	0.12973826977646166	0.13065203841853507	0.12993471008222474	0.13015839580888552
