	Unnamed: 0	ir_gravity	ir_spec_type	opt_gravity	opt_spec_type	order	rv	shortname	source_id	spec_id	RMS n=100	RMS n=200	RMS n=500	RMS n=1000
0	0				12.0	61	-37.35	0015+3516	844	1682	0.7973113309588626	0.8019503420364269	0.8024419206903233	0.800986115101584
1	1				12.0	61	-37.35	0015+3516	844	1683	0.8659590671484668	0.8707575255143865	0.8665467760354645	0.8669349372385263
2	2				12.0	61	-37.35	0015+3516	844	1684	0.8570027804700945	0.8572406162513008	0.8584433780252073	0.8566708483750815
3	4		14.0		13.5	61	19.02	0036+1821	86	1705	0.8022008298336829	0.8054575256304642	0.8045193348662995	0.8056407262218417
4	5		14.0		13.5	61	19.02	0036+1821	86	1706	0.825679536596344	0.8281670391794421	0.8290271176753288	0.8277931185534875
5	6		14.0		13.5	61	19.02	0036+1821	86	1707	0.8035948547727517	0.8032659134238963	0.7999904502723032	0.8032691570495792
6	7		14.0		13.5	61	19.02	0036+1821	86	1708	0.7871268641862358	0.7869556053712142	0.7860853234091794	0.7845754167123251
7	8					61	9.0	0140+2701	217	1731	0.7377725575507884	0.739411153153265	0.7400244267626965	0.7404548644845719
8	10				11.0	61	20.0	0208+2542	307	1754	1.142519346953825	1.1415319319920696	1.1362947700863677	1.13798797524189
9	11		11.0		10.0	61	6.0	0345+2540	825	1773	0.7504011940768005	0.7452894709551282	0.7429927402269259	0.7426139942663886
10	12		11.0		10.5	61	52.37	0746+2000	119	1820	0.7440374420014134	0.7382283178473066	0.7423767804609742	0.7412497325230526
11	13		11.0		10.5	61	52.37	0746+2000	119	1821	0.723034270708033	0.718715324031771	0.7180100701693586	0.7182571686071694
12	14				13.0	61	-0.68	1506+1321	778	1891	0.8171718297276702	0.8188889188416365	0.8157747363575368	0.8170106383905741
13	15				13.0	61	-0.68	1506+1321	778	1894	0.8100767760229302	0.7976219011156367	0.8047109707900792	0.8033624230184364
14	16		15.5		15.0	61	-39.85	1507-1627	775	1920	0.7649433773995341	0.7615212546975573	0.7629845747980133	0.7620873236231019
15	17				11.0	61	-25.6	1658+7026	631	1939	0.8010626654114897	0.8035715867625892	0.7999885630003829	0.8002151493331193
16	18		11.5		11.5	61	-24.68	2057-0252	697	1973	0.723868472884449	0.7231254368654474	0.7270883345323012	0.7245467697776103
17	19				13.0	61	-21.09	2104-1037	698	1995	0.7815769130386525	0.7834437065101062	0.7829052205441714	0.7847140475624679
18	20		13.5		14.5	61	-37.55	2224-0158	441	2029	0.9213605659101941	0.9215513293139819	0.923989408482394	0.9215355548260606
19	21		13.5		14.5	61	-37.55	2224-0158	441	2030	0.7471147101175448	0.7532514938255058	0.7529517341183661	0.7530627567871914
20	22				6.0	61	-10.0	2234+4041	172	2057	0.9680665295220043	0.9687266573526679	0.9639750001482068	0.9687605241938696
21	23				6.0	61	-10.0	2234+4041	172	2058	0.8036116542982255	0.8034447772572884	0.8035467066253978	0.8020769023263586
22	24		15.5		17.0	61	7.0	0205-1159	509	2107	0.9327301425226312	0.9299490459958406	0.9317368968798626	0.9282844706784903
23	25		16.0		15.0	61	2.0	1228-1547	269	2114	0.781080048343874	0.7825492699377028	0.7839163888878689	0.7853257593591892
24	26	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	2142	1.0713318733739703	1.0763156775042635	1.0760090221003094	1.076011566634848
25	27	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	2143	0.9206485138073297	0.9198130818219132	0.9244488213897712	0.924986282905393
26	28		13.0		14.0	61	-29.0	1424+0917	220	2178	1.9658109984683179	1.9662191946419807	1.9539611686063896	1.9532512370616109
27	29		6.0		6.0	61	19.0	1056+0700	205	2190	0.7011463640280808	0.7003822208896038	0.6995296256893269	0.6988764635982513
28	30		10.5		12.0	61	6.37	1305-2541	798	2254	0.7290148337030457	0.7264703904510047	0.7276366688655658	0.7293168268265626
29	31		14.0		13.5	61	19.02	0036+1821	86	3012	0.8293185048895684	0.8364331526172404	0.8306685130578908	0.8313470260316916
30	32		14.0		13.5	61	19.02	0036+1821	86	3016	0.7860650277045913	0.7912359932999283	0.793588625634378	0.7903538597134009
31	33		14.0		13.5	61	19.02	0036+1821	86	3021	0.8038691665708086	0.8117842165323009	0.8083439856548673	0.8092924855787975
32	34		14.0		13.5	61	19.02	0036+1821	86	3036	0.8046010942617525	0.8081164895190562	0.8066399083463026	0.8085471298635648
33	35	INT-G	10.0	β	9.5	61	8.112	0027+0503	17	3059	1.9600178089907567	1.966051311715886	1.9561247003773266	1.9653330516350676
34	36				6.0	61	-10.0	2234+4041	172	3239	0.8020086474007485	0.8048855944186798	0.8043274646645243	0.8017553736178656
35	37				6.0	61	-10.0	2234+4041	172	3242	0.988784267090693	0.9866189312236077	0.9845880764272872	0.9869297816912065
36	38		6.0		6.0	61	19.0	1056+0700	205	3321	0.699771353004855	0.6960359953685589	0.698128011256065	0.696406756514217
37	43					61	9.0	0140+2701	217	3373	0.7408121189845387	0.7450784179888515	0.7450087649594211	0.7427756853938728
38	44		13.0		14.0	61	-29.0	1424+0917	220	3397	2.510874474752481	2.497262506116702	2.4762291175158015	2.4749826689527255
39	47	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	3464	0.9941643125655157	0.9940205353745161	0.9956746812540828	0.9982313954401234
40	48	VL-G	13.0	β	13.0	61	-2.0	1004+5022	241	3465	1.2717423325954385	1.26812408582495	1.274124861994147	1.2714370597337916
41	50		16.0		15.0	61	2.0	1228-1547	269	3555	0.8456885302661098	0.8459277987664481	0.8439425292791171	0.8429112601003871
42	52				11.0	61	20.0	0208+2542	307	3619	1.5729956173945976	1.5955318524272974	1.6262358434082467	1.6102836383106411
43	53				11.0	61	20.0	0208+2542	307	3623	0.805178056826133	0.8041028868369524	0.8082616054392424	0.8047453307664546
44	54		22.0		22.0	61	4.0	1254-0122	439	3933	1.2764764590363287	1.2844278393162671	1.2761743487219075	1.2778245261982695
45	55		13.5		14.5	61	-37.55	2224-0158	441	3966	0.7856006219409626	0.7923401088035433	0.7929834169560077	0.7943585099909506
46	56		13.5		14.5	61	-37.55	2224-0158	441	3976	1.0401513916339649	1.0557079633479667	1.0494911765746615	1.0540790289917608
47	57	VL-G	12.0	β	12.0	61	3.6489999999999996	0045+1634	334	4121	0.7080899789338827	0.7133516674398122	0.7099855695108686	0.7096627353417232
48	58		15.5		17.0	61	7.0	0205-1159	509	4147	1.0372188514368847	1.0519999255796064	1.0399234358715288	1.044801309081008
49	59		15.5		17.0	61	7.0	0205-1159	509	4155	1.2302991377541723	1.2276877660531686	1.2282286294449711	1.2275627534972333
50	61	INT-G	11.0	β	11.0	61	1.6340000000000001	0117-3403	317	4179	1.0957837532224324	1.098615145078748	1.0944022239394238	1.099628626458158
51	62	VL-G	11.0	γ	10.0	61	7.564	0241-0326	98	4255	0.9617123059593814	0.9561339551231808	0.9588971638542791	0.9579757167310438
52	64			γ	8.0	61	27.016	0534-0631	601	4355	1.8186319667199091	1.8152238577192799	1.8211890187764221	1.8201133153360909
53	67		24.5		25.0	61	-9.0	0559-1404	595	4391	0.8535228690416149	0.8560294050956017	0.8505869502336568	0.8564581681210465
54	69			γ	9.0	61	-6.978	1935-2846	105	4406	0.7503452281482295	0.7515219415675573	0.7488653431059272	0.7465645616030737
55	70			β	14.0	61	-20.721	2154-1055	313	4417	2.0438992925990096	2.04381573087766	2.0294611123062816	2.030966391758253
56	72		25.0			61	19.0	2356-1553	611	4487	2.654167848848875	2.6403828020411937	2.637943406149207	2.6466346329624377
57	76		26.0		27.0	61	-5.0	0937+2931	648	4596	0.88984732394931	0.9016104922158426	0.9000494094393947	0.9024096024981356
